S.No,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Qtr
1.,Bharat Hig.InvIT,108.92,325.76,4824.49,,111.08,65441.18,127.15,,,111.08
2.,My Money Sec.,35.21,4.74,59.15,0.00,10.41,51950.00,14.70,7636.84,12.01,10.41
3.,PVV Infra Ltd,8.53,6.21,49.09,0.00,4.82,48100.00,21.39,-36.87,9.26,4.82
4.,BF Utilities,766.20,104.43,2885.51,0.00,17.50,43850.00,5.45,1.68,8.61,17.50
5.,Indo National,581.45,3.10,436.09,0.86,131.77,24962.26,121.15,-8.12,8.22,131.77
6.,Rap Media,46.88,0.48,27.57,0.00,61.82,23444.00,0.00,,-9.34,58.36
7.,Astal Lab,126.65,44.95,124.50,0.00,1.69,16800.00,13.15,866.91,7.63,1.69
8.,Sejal Glass,334.70,89.20,338.05,0.00,1.40,13700.00,52.75,94.22,13.41,1.38
9.,Dec.Gold Mines,142.45,,2103.52,0.00,38.20,13258.62,3.08,404.92,-10.73,38.16
10.,Zomato Ltd,259.95,381.48,229649.58,0.00,253.00,12550.00,4206.00,74.09,1.14,253.00
11.,Sastasundar Ven.,308.15,25.80,980.23,0.00,40.96,10964.26,270.29,-19.57,5.67,30.42
12.,Shakti Pumps,4410.45,37.87,8836.38,0.09,92.66,9166.00,567.56,402.00,31.44,92.66
13.,Containerway Int,11.92,10.39,7.79,0.00,0.89,9000.00,0.00,,-5.95,0.89
14.,Groarc Industrie,11.02,20.13,22.55,0.00,0.86,8500.00,31.55,536.09,0.77,0.86
15.,Key Corp,302.75,1.92,181.65,0.00,8.38,8480.00,8.57,10612.50,57.25,8.38
16.,ADC India,1992.30,33.05,916.46,0.25,6.96,7833.33,48.63,9.92,45.23,6.96
17.,Cropster Agro,374.00,69.36,935.00,0.00,2.89,7325.00,40.50,2227.59,64.54,2.89
18.,Srestha Finvest,1.91,4.85,156.62,0.00,31.01,6947.73,39.50,1632.46,4.18,31.01
19.,Comfort Comtrade,34.52,1.41,34.59,1.45,7.19,6436.36,9.81,97.38,54.68,7.19
20.,Lotus Chocolate,1766.05,234.74,2267.61,0.00,10.09,5705.56,124.44,402.99,-0.41,10.09
21.,Tarapur Trans,20.20,2.90,39.39,0.00,14.54,5292.86,0.00,,-32.60,14.54
22.,Mah. Scooters,10069.25,52.04,11509.15,1.69,8.26,4554.17,7.72,46.77,0.88,22.34
23.,Jhaveri Credits,334.00,111.99,300.13,0.00,0.93,4550.00,12.25,12150.00,5.54,0.93
24.,Vuenow Infratech,99.52,19.86,177.15,0.75,3.89,4222.22,13.24,6868.42,94.38,3.89
25.,Arunjyoti Bio,106.45,152.62,198.40,0.00,1.69,4125.00,10.10,260.71,1.85,1.69
